City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,300.35,67,5,2.87,MV,1669944488
1,norman wells,65.282,-126.8329,259.17,78,100,4.63,CA,1669944488
2,mattawa,46.7379,-119.9028,272.15,93,72,0.85,US,1669944489
3,imbituba,-28.24,-48.6703,295.6,95,74,5.15,BR,1669944489
4,sola,-13.8833,167.55,301.39,75,50,6.61,VU,1669944489
5,vardo,70.3705,31.1107,274.14,86,100,1.03,NO,1669944490
6,qaanaaq,77.484,-69.3632,241.54,74,0,3.52,GL,1669944490
7,nemuro,43.3236,145.575,271.93,45,2,5.16,JP,1669944490
8,sao felix do xingu,-6.6447,-51.995,295.55,97,15,0.6,BR,1669944491
9,fort beaufort,-32.7748,26.6338,291.92,92,66,0.97,ZA,1669944491
10,cape town,-33.9258,18.4232,291.42,85,75,2.24,ZA,1669944491
11,garmsar,35.2182,52.3409,284.25,52,98,1.36,IR,1669944492
12,rikitea,-23.1203,-134.9692,296.98,75,47,4.48,PF,1669944492
13,busselton,-33.65,115.3333,292.91,54,0,0.99,AU,1669944492
14,san felipe,10.3399,-68.7425,293.37,98,19,0.93,VE,1669944493
15,banda aceh,5.5577,95.3222,298.4,79,100,3.26,ID,1669944493
16,altay,47.8667,88.1167,256.25,59,88,2.88,CN,1669944494
17,pacifica,37.6138,-122.4869,283.21,81,75,6.17,US,1669944440
18,hermanus,-34.4187,19.2345,289.71,84,99,5.93,ZA,1669944494
19,lagoa,39.05,-27.9833,287.4,51,79,10.9,PT,1669944495
20,ushuaia,-54.8,-68.3,284.96,54,75,7.2,AR,1669944495
21,bilibino,68.0546,166.4372,256.83,100,89,0.53,RU,1669944495
22,kodiak,57.79,-152.4072,275.88,52,0,4.63,US,1669944496
23,port hardy,50.6996,-127.4199,269.25,86,75,2.06,CA,1669944496
24,pemangkat,1.1667,108.9667,298.79,87,100,1.7,ID,1669944497
25,touros,-5.1989,-35.4608,299.2,70,8,5.17,BR,1669944497
